z,zeta,as_scale,hmf,cooling_scale,T_min,score
10.0,6.613274712005288,0.8,ST,1.0,10000.0,0.0024401333485314937
10.0,6.971125757213828,0.8,ST,1.0,10000.0,0.0025216171305105462
10.0,7.3483404877573175,0.8,ST,1.0,10000.0,0.0025915628418047842
10.0,7.745966692414836,0.8,ST,1.0,10000.0,0.002649891677898906
10.0,8.165108856885828,0.8,ST,1.0,10000.0,0.0026967349697214864
10.0,8.606931231718361,0.8,ST,1.0,10000.0,0.002732400612361508
10.0,9.072661066246061,0.8,ST,1.0,10000.0,0.0027572539348769895
10.0,9.563592017516726,0.8,ST,1.0,10000.0,0.002771783746544828
10.0,10.081087743681516,0.8,ST,1.0,10000.0,0.002776559765034699
10.0,10.626585691826111,0.8,ST,1.0,10000.0,0.0027721915814019364
10.0,11.20160109076529,0.8,ST,1.0,10000.0,0.0027593131627069952
10.0,11.807731159891665,0.8,ST,1.0,10000.0,0.002738635408071938
10.0,12.446659545769569,0.8,ST,1.0,10000.0,0.0027108191683635355
10.0,13.120160998797505,0.8,ST,1.0,10000.0,0.002676560657025196
10.0,13.830106302929654,0.8,ST,1.0,10000.0,0.002636542587975018
10.0,14.578467472149546,0.8,ST,1.0,10000.0,0.0025914138262112473
10.0,15.367323228130308,0.8,ST,1.0,10000.0,0.002541808541031627
10.0,16.198864774296695,0.8,ST,1.0,10000.0,0.002488339069807748
10.0,17.07540188232742,0.8,ST,1.0,10000.0,0.0024315887582867413
10.0,17.999369308004486,0.8,ST,1.0,10000.0,0.0023720714784865433
10.0,18.973333554230518,0.8,ST,1.0,10000.0,0.002310312538741215
10.0,20.000000000000004,0.8,ST,1.0,10000.0,0.0022467807060746084
10.0,3.0,0.8,ST,1.0,15000.0,0.00031029756835695814
10.0,3.1623330622689494,0.8,ST,1.0,15000.0,0.0003887482529245159
10.0,3.33345013223977,0.8,ST,1.0,15000.0,0.0004766287402822181
10.0,3.5138265215355418,0.8,ST,1.0,15000.0,0.0005730127582565897
10.0,3.703963261376446,0.8,ST,1.0,15000.0,0.0006766771773229519
10.0,3.9043884942934204,0.8,ST,1.0,15000.0,0.000786170263851948
10.0,4.1156589411488556,0.8,ST,1.0,15000.0,0.0008998872613103422
10.0,4.338361447539279,0.8,ST,1.0,15000.0,0.0010161236926282875
10.0,4.573114613875481,0.8,ST,1.0,15000.0,0.0011331757968253754
10.0,4.820570513667911,0.8,ST,1.0,15000.0,0.0012493421601627783
10.0,5.0814165047902815,0.8,ST,1.0,15000.0,0.00136305426514918
10.0,5.356377138752477,0.8,ST,1.0,15000.0,0.0014728596599169585
10.0,5.389452332657201,0.8,ST,1.0,15000.0,0.001485373958026555
10.0,5.646216173286171,0.8,ST,1.0,15000.0,0.0015774649449581174
10.0,5.9517386938335095,0.8,ST,1.0,15000.0,0.0016757559753937863
10.0,6.273793349831704,0.8,ST,1.0,15000.0,0.0017668053946519966
10.0,6.613274712005288,0.8,ST,1.0,15000.0,0.001849900351326781
10.0,6.971125757213828,0.8,ST,1.0,15000.0,0.001924473643420344
10.0,7.3483404877573175,0.8,ST,1.0,15000.0,0.0019901987474709878
10.0,7.745966692414836,0.8,ST,1.0,15000.0,0.002046834430390788
10.0,8.165108856885828,0.8,ST,1.0,15000.0,0.0020943274681756085
10.0,8.606931231718361,0.8,ST,1.0,15000.0,0.002132790118559927
10.0,9.072661066246061,0.8,ST,1.0,15000.0,0.002162392851479822
10.0,9.563592017516726,0.8,ST,1.0,15000.0,0.002183424561722937
10.0,10.081087743681516,0.8,ST,1.0,15000.0,0.002196260822320942
10.0,10.626585691826111,0.8,ST,1.0,15000.0,0.0022013245204163686
10.0,11.20160109076529,0.8,ST,1.0,15000.0,0.002199070643457541
10.0,11.807731159891665,0.8,ST,1.0,15000.0,0.0021900370485516117
10.0,12.446659545769569,0.8,ST,1.0,15000.0,0.0021747293944797156
10.0,13.120160998797505,0.8,ST,1.0,15000.0,0.0021536903872272795
10.0,13.830106302929654,0.8,ST,1.0,15000.0,0.002127468392816487
10.0,14.578467472149546,0.8,ST,1.0,15000.0,0.0020965871028890792
10.0,15.367323228130308,0.8,ST,1.0,15000.0,0.0020615663460614407
10.0,16.198864774296695,0.8,ST,1.0,15000.0,0.0020229144173344745
