z,as_scale,hmf,cooling_scale,T_min,peak_zeta,observed_over_peak,n_valid_zeta
6.0,1.2,ST,0.5,15000.0,5.152679304493335,0.9986395710257645,38
6.0,1.2,ST,1.0,8000.0,4.856877175885638,0.9932550204288433,38
6.0,1.2,ST,1.0,10000.0,4.976736285519327,0.9960182488750648,38
6.0,1.2,ST,1.0,15000.0,5.2115260793775136,0.9992536019621825,38
6.0,1.2,ST,2.0,8000.0,4.890929856846947,0.9942224456605523,38
6.0,1.2,ST,2.0,10000.0,5.015577964520757,0.9967875985988613,38
6.0,1.2,ST,2.0,15000.0,5.257556733004872,0.9996116936695791,38
6.0,1.2,PS,0.5,8000.0,5.565514598763478,0.9993342111113452,38
6.0,1.2,PS,0.5,10000.0,5.722371259843322,0.9975922106396505,38
6.0,1.2,PS,0.5,15000.0,6.026023978358266,0.9914101623487293,38
6.0,1.2,PS,1.0,8000.0,5.604859484045283,0.9990188412579644,38
6.0,1.2,PS,1.0,10000.0,5.763726258430443,0.9970057857020971,38
6.0,1.2,PS,1.0,15000.0,6.076443344140504,0.990206085084452,38
6.0,1.2,PS,2.0,8000.0,5.630708192050114,0.9987832211452725,38
6.0,1.2,PS,2.0,10000.0,5.791310339233987,0.9965892018509842,38
6.0,1.2,PS,2.0,15000.0,6.110805581903771,0.989399309438436,38
4.0,0.8,ST,0.5,8000.0,4.334894838308359,0.9708827500265812,38
4.0,0.8,ST,0.5,10000.0,4.434279958184953,0.9762980647682582,38
4.0,0.8,ST,0.5,15000.0,4.612614810510569,0.984414569236913,38
4.0,0.8,ST,1.0,8000.0,4.390562054742025,0.9747349164192118,38
4.0,0.8,ST,1.0,10000.0,4.494998937309032,0.9799060929476574,38
4.0,0.8,ST,1.0,15000.0,4.679828246383974,0.9874937441214066,38
4.0,0.8,ST,2.0,8000.0,4.432578188349531,0.9774868568286184,38
4.0,0.8,ST,2.0,10000.0,4.542368709450715,0.9824503175924528,38
4.0,0.8,ST,2.0,15000.0,4.734778856246842,0.98968290275274,38
4.0,0.8,PS,0.5,8000.0,4.987309136043007,0.9960345272648994,38
4.0,0.8,PS,0.5,10000.0,5.122590599618001,0.9982391463956305,38
4.0,0.8,PS,0.5,15000.0,5.357959562350174,0.999976110307312,38
4.0,0.8,PS,1.0,8000.0,5.037097646455856,0.9970204104536319,38
4.0,0.8,PS,1.0,10000.0,5.174678160540723,0.9988880892607149,38
4.0,0.8,PS,1.0,15000.0,5.420741599284767,0.9999778028125375,38
4.0,0.8,PS,2.0,8000.0,5.071361322909821,0.9976124015510165,38
4.0,0.8,PS,2.0,10000.0,5.211055501738557,0.9992495708826862,38
4.0,0.8,PS,2.0,15000.0,5.465779913157553,0.9998702066939598,38
4.0,1.0,ST,0.5,8000.0,3.8494957036102484,0.9336312919058498,38
4.0,1.0,ST,0.5,10000.0,3.932838884174825,0.9407742105177432,38
4.0,1.0,ST,0.5,15000.0,4.07861184988034,0.9522709887915874,38
4.0,1.0,ST,1.0,8000.0,3.908743248297781,0.9406948330577355,38
4.0,1.0,ST,1.0,10000.0,3.994222116111422,0.9476407770566604,38
4.0,1.0,ST,1.0,15000.0,4.149101281014631,0.9588145149752709,38
4.0,1.0,ST,2.0,8000.0,3.95589446962669,0.9461569482820867,38
4.0,1.0,ST,2.0,10000.0,4.046203909561049,0.9529937258812422,38
4.0,1.0,ST,2.0,15000.0,4.206568878344321,0.9638641550689078,38
4.0,1.0,PS,0.5,8000.0,4.395994308124718,0.9736663593831874,38
4.0,1.0,PS,0.5,10000.0,4.505844602231681,0.9793361857547495,38
